project_id,city_id,name,locality,pincode,existing_source,query,osm_lat,osm_lon,osm_display_name,accepted,acceptance_reason,cache_status
project_35c02e01a8a2450e,delhi_ncr,Godrej Frontier Gurgaon,Sector 80,122101.0,validated_candidate_geocode,"Godrej Frontier Gurgaon, Sector 80, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_6f44a7eb83ce1db3,delhi_ncr,BPTP Terra,"Sector 37D, Delhi Gurgaon Expressway",122001.0,validated_candidate_geocode,"BPTP Terra, Sector 37D, Delhi Gurgaon Expressway, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_7bab73284124a0ca,delhi_ncr,DLF New Town Heights 3,Sector 91,122505.0,validated_candidate_geocode,"DLF New Town Heights 3, Sector 91, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_76b9954f34c2550d,delhi_ncr,Orchid Garden,Sector 54,122011.0,unmapped,"Orchid Garden, Sector 54, 122011.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_bf3bf4f4fb812e52,delhi_ncr,Wave Veridia,National Highway 24,201015.0,validated_candidate_geocode,"Wave Veridia, National Highway 24, 201015.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f39ede4d1bcf09dc,delhi_ncr,Indiabulls Enigma,Sector 110,122022.0,validated_candidate_geocode,"Indiabulls Enigma, Sector 110, 122022.0, Delhi NCR, India",,,,False,no_osm_result,miss_error
project_1e33ae862c0649af,delhi_ncr,Tulip White,Sector 69,122001.0,validated_candidate_geocode,"Tulip White, Sector 69, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_9c69aa65274df384,delhi_ncr,Bharat Petrolium Apartments,"Sector 62, NH 24",201309.0,validated_candidate_geocode,"Bharat Petrolium Apartments, Sector 62, NH 24, 201309.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_afc7171a5b495f60,delhi_ncr,Wave Amore,"Sector 32, Noida City centre Metro",201301.0,validated_candidate_geocode,"Wave Amore, Sector 32, Noida City centre Metro, 201301.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_bf8374860683c302,delhi_ncr,Godrej Habitat,Sector 3,122006.0,validated_candidate_geocode,"Godrej Habitat, Sector 3, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_31b4d5c96210eb6e,delhi_ncr,Samridhi Daksh Avenue,"Sector 150, Pusta Road",201310.0,validated_candidate_geocode,"Samridhi Daksh Avenue, Sector 150, Pusta Road, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_a36832321d5c136b,delhi_ncr,ACE Golfshire,"Sector 150, Pusta Road",201310.0,unmapped,"ACE Golfshire, Sector 150, Pusta Road, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_97dcd9097b40089b,delhi_ncr,Express Greens,Vaishali,201012.0,validated_candidate_geocode,"Express Greens, Vaishali, 201012.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_9af78b55b05bd96c,delhi_ncr,Saya Zenith,Indirapuram,201014.0,validated_candidate_geocode,"Saya Zenith, Indirapuram, 201014.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_46bdf00bfeb978a5,delhi_ncr,ATS Kocoon,Sector 109,122017.0,validated_candidate_geocode,"ATS Kocoon, Sector 109, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_2c8bdc310db65ec0,delhi_ncr,Chintels Serenity,Sector 109,122017.0,validated_candidate_geocode,"Chintels Serenity, Sector 109, 122017.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_4c5b073ba82e77e5,delhi_ncr,ATS Triumph,Sector 104,122006.0,validated_candidate_geocode,"ATS Triumph, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_17a7206d9ff37d9d,delhi_ncr,Ashiana Upvan,Indirapuram,201014.0,validated_candidate_geocode,"Ashiana Upvan, Indirapuram, 201014.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f2b1a12623341608,delhi_ncr,Godrej Prive,Sector 106,122006.0,validated_candidate_geocode,"Godrej Prive, Sector 106, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_6a70b0c5774bf8d5,delhi_ncr,MRG Crown,Sector 106,122006.0,validated_candidate_geocode,"MRG Crown, Sector 106, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_2f3c38f34d6285bd,delhi_ncr,ATS Marigold,Sector 89A,122505.0,validated_candidate_geocode,"ATS Marigold, Sector 89A, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_e6ca3e1a612ab973,delhi_ncr,Raheja Atlantis,Sector 31,122022.0,validated_candidate_geocode,"Raheja Atlantis, Sector 31, 122022.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_b014937e9deaef05,delhi_ncr,ATS Kingston Heath,"Sector 150, Pusta Road",201310.0,validated_candidate_geocode,"ATS Kingston Heath, Sector 150, Pusta Road, 201310.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_b5a69bae78a2bdc0,delhi_ncr,BPTP Astaire Gardens Pedestal Floors,Sector 70A,122101.0,validated_candidate_geocode,"BPTP Astaire Gardens Pedestal Floors, Sector 70A, 122101.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_1c00e19dd31fe46c,delhi_ncr,M3M The Line Pentsuites,Sector 72,201301.0,validated_candidate_geocode,"M3M The Line Pentsuites, Sector 72, 201301.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_3d97656415a7a4a8,delhi_ncr,Tulip Purple,Sector 69,122001.0,validated_candidate_geocode,"Tulip Purple, Sector 69, 122001.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_d6566af1159e3dc1,delhi_ncr,Agrante Beethoven 8,Sector 107,122505.0,validated_candidate_geocode,"Agrante Beethoven 8, Sector 107, 122505.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_d4236e657b36d1f9,delhi_ncr,Indiabulls Estate and Club,Sector 104,122006.0,validated_candidate_geocode,"Indiabulls Estate and Club, Sector 104, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
project_f189e6c16c2a0eab,delhi_ncr,WTC The Plaza at 106,Sector 106,122006.0,unmapped,"WTC The Plaza at 106, Sector 106, 122006.0, Delhi NCR, India",,,,False,no_osm_result,miss
